month_key,ASEAN,China,Europe,India
2015-01-01,596555,657267,728136,77937
2015-02-01,579475,904926,641630,69790
2015-03-01,647044,775219,568580,77942
2015-04-01,666839,830382,383665,83378
2015-05-01,705864,785992,274093,108515
2015-06-01,714129,764405,268238,97570
2015-07-01,693865,921935,408464,85980
2015-08-01,648951,932066,387096,81687
2015-09-01,609297,611871,285830,86896
2015-10-01,640712,658207,399079,87248
2015-11-01,704477,713418,553796,88309
2015-12-01,872084,740297,716751,94164
2016-01-01,656830,914908,744752,82434
2016-02-01,686858,1094672,707641,66642
2016-03-01,788838,869170,645852,82740
2016-04-01,719599,927824,429752,85928
2016-05-01,745119,849858,304296,115705
2016-06-01,736847,856158,291070,98825
2016-07-01,800743,1009606,450650,89115
2016-08-01,746257,1037009,441046,87876
2016-09-01,739015,783134,311746,82846
2016-10-01,674718,568376,459395,86987
2016-11-01,710057,517667,606798,89594
2016-12-01,893754,648188,776688,108288
2017-01-01,686774,971904,809763,104008
2017-02-01,656895,909840,743037,91183
2017-03-01,773938,903528,652128,99253
2017-04-01,821946,887478,515152,90316
2017-05-01,815865,900276,296679,118257
2017-06-01,880041,912367,303493,117614
2017-07-01,845122,1048127,461001,102980
2017-08-01,900552,1096826,450911,97634
2017-09-01,781992,849008,315166,98684
2017-10-01,722022,915662,474554,109270
2017-11-01,780322,904462,651650,116900
2017-12-01,980110,968346,823575,135597
2018-01-01,743148,1095133,885530,128626
2018-02-01,701983,1350455,826799,103692
2018-03-01,850039,1127257,774363,116207
2018-04-01,807120,1129743,502328,118730
2018-05-01,805538,1016971,299027,148307
2018-06-01,955915,1079548,294218,144200
2018-07-01,846505,1116828,456512,129183
2018-08-01,928278,1077638,443631,129122
2018-09-01,856221,800869,327291,122202
2018-10-01,815201,789928,457772,114897
2018-11-01,928130,821408,667963,140888
2018-12-01,1111895,1009646,853813,166825
2019-01-01,755230,1205330,889904,162537
2019-02-01,804738,1239842,830824,121244
2019-03-01,847962,1138612,716534,159577
2019-04-01,886966,1072987,524321,162256
2019-05-01,875657,953205,282815,169564
2019-06-01,984686,1027558,292882,189733
2019-07-01,927940,1191440,436389,159355
2019-08-01,959163,1264424,422141,166062
2019-09-01,869375,1019937,302927,151635
2019-10-01,888040,983442,471748,160348
2019-11-01,946421,959997,682804,172949
2019-12-01,1132174,1037552,872176,185810
2020-01-01,836857,1215777,919980,161309
2020-02-01,538809,257321,797470,86506
2020-03-01,268147,73955,352162,16319
2020-10-01,608,1962,2165,158
2020-11-01,944,2948,3278,421
2020-12-01,818,3411,6302,510
2021-01-01,901,2022,6220,434
2021-02-01,883,2141,3986,278
2021-03-01,1507,4079,3858,508
2021-04-01,1607,3088,4586,486
2021-05-01,1475,1435,3035,49
2021-06-01,1886,1334,2634,17
2021-07-01,1445,2274,11281,230
2021-08-01,1052,2291,11921,136
2021-09-01,1517,1983,8941,288
2021-10-01,1764,1996,16486,1130
2021-11-01,7479,4057,60814,1757
2021-12-01,17148,6092,158232,5551
2022-01-01,9603,3126,92993,1003
2022-02-01,15974,5328,98423,1944
2022-03-01,30226,7350,102763,11363
2022-04-01,55316,11300,121867,26108
2022-05-01,183794,19187,100431,76326
2022-06-01,339890,26928,123921,110746
2022-07-01,526462,37243,207074,104336
2022-08-01,557552,43205,216422,111432
2022-09-01,652415,47376,197087,114592
2022-10-01,684128,71500,295291,124877
2022-11-01,665430,95283,457073,144434
2022-12-01,865308,141533,621843,154834
2023-01-01,665011,202002,705869,103316
2023-02-01,631437,242038,684551,99808
2023-03-01,746317,374034,614862,119474
2023-04-01,793779,456405,430530,133312
2023-05-01,805470,399562,281416,149053
2023-06-01,912287,462978,264803,156500
2023-07-01,852982,578342,386750,128070
2023-08-01,910233,536101,377847,130667
2023-09-01,822526,410842,308405,142051
2023-10-01,766165,416616,430354,141878
2023-11-01,853426,436379,660728,148212
2023-12-01,1063015,573650,816116,176201
